Perfil,DescrPerfil,Nivel,Agrupamiento,Convocatoria,Comite,Vacantes
4894,Abogado experto litigante especializado en Políticas Públicas de Inclusión Social,A,Profesional,1,1,1
4901,Abogado dictaminante especializado en Derecho a la Inclusión Social,B,Profesional,2,1,2
4909,Abogado litigante especializado en Políticas Públicas de Inclusión Social,B,Profesional,2,1,2
4891,Abogado experto en Elaboración y Gestión de Políticas de Responsabilidad Social,A,Profesional,1,2,1
4892,"Abogado experto en Elaboración, Tramitación y Seguimiento de Programas Sociales",A,Profesional,1,2,1
4903,Abogado dictaminante especializado en Derechos de los pueblos Originarios y en la Diversidad Cultural,B,Profesional,2,2,2
4899,Abogado dictaminante especializado en Compras y Contrataciones,B,Profesional,1,3,2
4905,Abogado dictaminante especializado en Economía Social,B,Profesional,2,3,2
4893,Abogado experto en Administración de Personal,A,Profesional,1,4,1
4895,Abogado experto en Dirección y Gestión Organizacional y de Recursos Humanos,A,Profesional,1,4,1
4907,Abogado especializado en Empleo Público,B,Profesional,2,4,2
4965,Técnico administrativo en gestión documental de administración de personal,C,General,1,5,30
4995,Técnico en Gestión Administrativa,C,General,1,5,49
5116,Técnico Responsable de gestión administrativa de ingresos y egresos de documentación oficial,C,General,1,5,1
4890,Contador Público experto en Programación y Control Presupuestario,A,Profesional,1,6,1
4911,Contador especializado en Gestión y Control de Compras y Contrataciones,B,Profesional,2,6,1
4912,Contador especializado en Programación y Control Presupuestario,B,Profesional,1,6,4
5117,Técnico Responsable de Gestión de Requerimientos y Control de Bienes Inventariables,C,General,1,6,1
5075,Técnico en mantenimiento y servicios generales,C,General,1,7,21
5118,Técnico Responsable en Gestión de Requerimientos de Servicios de Mantenimiento,C,General,1,7,1
5460,Auxiliar de Maestranza y Mantenimiento,E,General,1,7,30
4897,Abogado dictaminante especializado en Auditoría Social,B,Profesional,2,8,2
5119,Analista Profesional de Auditoría de Programas Sociales,C,Profesional,2,8,5
5165,Médico Laboral,C,Profesional,2,9,2
4896,Técnico especialista en Diseño Organizacional y Gestión Lógica de la Información en Personal,B,General,1,10,1
4961,Profesional en Ciencias Sociales especializado en Capacitación y Desarrollo de Personal,B,Profesional,1,10,2
5144,Analista Profesional en Gestión de Personal,C,Profesional,2,10,3
5147,Analista Profesional en Gestión Lógica de la Información de Personal,C,Profesional,1,10,5
4963,Profesional especializado en Programas Sociales de Seguridad Alimentaria,B,Profesional,1,11,2
5129,Analista profesional en Estrategias de Organización y Participación Popular,C,Profesional,2,11,15
5152,Analista Profesional en planificación y desarrollo de actividades de formación de capacidades para la Inclusión Social,C,Profesional,2,11,10
5162,Analista Profesional en Programas Sociales de Seguridad Alimentaria,C,Profesional,2,11,3
4889,Profesional del Trabajo Social experto en gestión y financiamiento de programas de inclusión social,A,Profesional,1,12,1
4916,Profesional del Trabajo Social especializado en Economía Social,B,Profesional,2,12,25
4941,Profesional del Trabajo Social especializado en Emergencia y Asistencia a las víctimas en situaciones de vulnerabilidad social,B,Profesional,2,12,20
5096,Técnico especialista del Trabajo Social en programas de Inclusión Social,C,General,1,12,20
5167,Profesional del Trabajo Social en gestión de Programas de Inclusión Social,C,Profesional,2,12,25
5192,Asistente Administrativo,D,General,1,13,214
5406,Asistente Administrativo - Con Reserva del Art. 8 de la Ley N° 22.431,D,General,1,14,24
